"Host","Opponent","Date","Tm","Opp","Tm_odd","Opp_odd","Year"
"TOR","MIL","Mar 30, 2011","98","104","2.60","1.52","2011"
"WAS","MIA","Mar 30, 2011","107","123","8.47","1.09","2011"
"SAC","PHO","Mar 30, 2011","116","113","2.04","1.80","2011"
"OKC","GSW","Mar 30, 2011","115","114","1.12","6.76","2011"
"NYK","MEM","Mar 17, 2011","120","99","1.47","2.78","2011"
"BRK","CHI","Mar 17, 2011","73","84","3.20","1.37","2011"
"GSW","DAL","Mar 17, 2011","106","112","2.45","1.58","2011"
"LAC","PHI","Mar 17, 2011","94","104","1.86","1.96","2011"
"SAC","CLE","Mar 17, 2011","93","97","1.19","5.00","2011"
"UTA","MIN","Mar 17, 2011","119","104","1.40","3.04","2011"
"DAL","SAS","Mar 18, 2011","91","97","1.70","2.20","2011"
"HOU","BOS","Mar 18, 2011","93","77","2.19","1.71","2011"
"MIL","BRK","Mar 18, 2011","110","95","1.36","3.28","2011"
"OKC","CHO","Mar 18, 2011","99","82","1.12","6.49","2011"
"ATL","MIA","Mar 18, 2011","85","106","3.23","1.37","2011"
"DET","NYK","Mar 18, 2011","99","95","2.45","1.59","2011"
"IND","CHI","Mar 18, 2011","115","108","2.57","1.54","2011"
"ORL","DEN","Mar 18, 2011","85","82","1.42","2.98","2011"
"TOR","WAS","Mar 18, 2011","116","107","1.24","4.28","2011"
"POR","CLE","Mar 18, 2011","111","70","1.04","13.33","2011"
"SAS","CHO","Mar 19, 2011","109","98","1.08","9.07","2011"
"MEM","IND","Mar 19, 2011","99","78","1.20","4.78","2011"
"NOP","BOS","Mar 19, 2011","85","89","1.99","1.85","2011"
"MIA","DEN","Mar 19, 2011","103","98","1.25","4.19","2011"
"LAC","CLE","Mar 19, 2011","100","92","1.05","12.28","2011"
"LAL","MIN","Mar 19, 2011","106","98","1.04","13.54","2011"
"PHO","GSW","Mar 19, 2011","108","97","1.44","2.87","2011"
"SAC","PHI","Mar 19, 2011","80","102","2.63","1.52","2011"
"DAL","GSW","Mar 20, 2011","101","73","1.21","4.67","2011"
"HOU","UTA","Mar 20, 2011","110","108","1.25","4.15","2011"
"OKC","TOR","Mar 20, 2011","93","95","1.05","12.40","2011"
"LAC","PHO","Mar 20, 2011","99","108","1.85","1.97","2011"
"MIN","SAC","Mar 20, 2011","95","127","1.53","2.57","2011"
"MIL","NYK","Mar 20, 2011","100","95","2.11","1.76","2011"
"ATL","DET","Mar 20, 2011","104","96","1.31","3.63","2011"
"WAS","BRK","Mar 20, 2011","98","92","2.13","1.75","2011"
"POR","PHI","Mar 20, 2011","110","101","1.30","3.64","2011"
"SAS","GSW","Mar 21, 2011","111","96","1.11","7.00","2011"
"CHI","SAC","Mar 21, 2011","132","92","1.03","16.07","2011"
"MEM","UTA","Mar 21, 2011","103","85","1.26","4.09","2011"
"NYK","BOS","Mar 21, 2011","86","96","2.06","1.79","2011"
"BRK","IND","Mar 21, 2011","98","102","2.38","1.61","2011"
"CLE","ORL","Mar 21, 2011","86","97","8.21","1.09","2011"
"LAL","POR","Mar 21, 2011","84","80","1.37","3.22","2011"
"ATL","CHI","Mar 22, 2011","81","114","2.57","1.54","2011"
"DEN","TOR","Mar 22, 2011","123","90","1.08","8.44","2011"
